Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Version,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,rep,filename
Exposure,Critical,1,1,Ambition,Materials A,Sh,Parasite,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Ambition.M.L_NAAs.Parasite.F.R.wav
Exposure,Critical,1,2,Machinery,Materials A,Sh,Obscene,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Machinery.M.L_NAAs.Obscene.F.R.wav
Exposure,Critical,1,3,Brochure,Materials A,Sh,Medicine,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Brochure.M.L_NAAs.Medicine.F.R.wav
Exposure,Critical,1,4,Official,Materials A,Sh,Tennessee,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Official.M.L_NAAs.Tennessee.F.R.wav
Exposure,Critical,1,5,Crucial,Materials A,Sh,Penninsula,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Crucial.M.L_NAAs.Penninsula.F.R.wav
Exposure,Critical,1,6,Pediatrician,Materials A,Sh,Hallucinate,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Pediatrician.M.L_NAAs.Hallucinate.F.R.wav
Exposure,Critical,1,7,Flourishing,Materials A,Sh,Arkansas,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Flourishing.M.L_NAAs.Arkansas.F.R.wav
Exposure,Critical,1,8,Reassure,Materials A,Sh,Compensate,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Reassure.M.L_NAAs.Compensate.F.R.wav
Exposure,Critical,1,9,Graduation,Materials A,Sh,Dinosaur,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Graduation.M.L_NAAs.Dinosaur.F.R.wav
Exposure,Critical,1,10,Vacation,Materials A,Sh,Rehearsal,Materials B,S,Shifted,Male,Left,Female,Right,1,Critical_08.A_Ash.Vacation.M.L_NAAs.Rehearsal.F.R.wav
Exposure,Critical,1,11,Pregnancy,Materials B,S,Initial,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Pregnancy.M.L_A_Sh.Initial.F.R.wav
Exposure,Critical,1,12,Democracy,Materials B,S,Beneficial,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Democracy.M.L_A_Sh.Beneficial.F.R.wav
Exposure,Critical,1,13,Embassy,Materials B,S,Negotiate,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Embassy.M.L_A_Sh.Negotiate.F.R.wav
Exposure,Critical,1,14,Legacy,Materials B,S,Commercial,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Legacy.M.L_A_Sh.Commercial.F.R.wav
Exposure,Critical,1,15,Reconcile,Materials B,S,Parachute,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Reconcile.M.L_A_Sh.Parachute.F.R.wav
Exposure,Critical,1,16,Personal,Materials B,S,Efficient,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Personal.M.L_A_Sh.Efficient.F.R.wav
Exposure,Critical,1,17,Eraser,Materials B,S,Publisher,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Eraser.M.L_A_Sh.Publisher.F.R.wav
Exposure,Critical,1,18,Episode,Materials B,S,Glacier,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Episode.M.L_A_Sh.Glacier.F.R.wav
Exposure,Critical,1,19,Literacy,Materials B,S,Refreshing,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Literacy.M.L_A_Sh.Refreshing.F.R.wav
Exposure,Critical,1,20,Coliseum,Materials B,S,Impatient,Materials A,Sh,Unshifted,Male,Left,Female,Right,1,Critical_08.B_S.Coliseum.M.L_A_Sh.Impatient.F.R.wav
